פוד ברעזיץ	-1
פאריצק	-1
מיהאליוויטץ	-1
קעשענעוו	-1
קאונס	598316
נייפעסט	-1
דארפאט	-1
אונוואר	-1
והראן	-1
וארשא	756135
סאלוניק	734077
אוסטראה	-1
למבערג	702550
דאר לביצא	2553604
הרצליה	294778
באלטימאר מד.	4347778
זולקווא	-1
פדואה	-1
בוקורעשט	-1
דווינסק	-1
אדריאנופלה	747712
סטרי	-1
פעטערבורג	-1
ווארשויא	756135
לוצין	457776
קיווע	703448
פעטראגראד	-1
ויניצייה	3164603
עדמאנטאן	5946768
פדובה	-1
דוקלא	772857
לעמברעג	702550
"פ""ב"	-1
וואיטצען	-1
האמברוג	2911298
פיזרו	-1
טהראן	112931
"ס""ט פאטרבורג"	-1
מנטואה	-1
פרנקפורט דאדאר	-1
בודאפסט	-1
"ורנקנורט ע""נ מוין"	-1
גאלאנטהא	-1
טאנכיר	-1
טורנא	3057124
עדעלין	-1
צובה	-1
פיטערקוב	-1
האלבערשטאדט	-1
טשקינט	1512569
יקטרינוסלב	-1
קיוב	703448
וואללשטיין	-1
יוזעפף	-1
קאשוי	724443
פאזעוואלק	-1
אנטוורפן	-1
ואיטצען	-1
פיעטרקאוו	-1
פריש	-1
ויינא	-1
נירנבערג	2861650
סוליש	-1
באטאשאן	-1
זשענעוו	-1
ראטטרדם	2747891
סובאלק	757718
קלויזענבורג	681290
בעטלען	-1
ורשו	756135
"ס""ט-פטרבורג"	-1
וויעננא	-1
נאוואהרדאק	-1
מנשסתר	2643123
יאלעוויטץ	-1
גנווא	-1
בומבאי	-1
זאלקווה	-1
"פראנקפורט ע""נ מיין"	-1
דיהרנפרט	-1
פאנעוועז	-1
גרבה	-1
מוסקבה	524901
סט. פטרסבורג	-1
וילנא	593116
בבל	-1
פרנקפורט אדר	-1
נתניה	294071
אודססא	698740
סלוצק	621741
נירן בורג	2861650
מעזירטש גדול	-1
ורנקבורט	-1
פראנקפרט	-1
סאטו מארע	-1
באהסלב	-1
"פא""ס"	-1
בוקורישט	-1
קלוזש קלויזענבורג	681290
פראנקפורט א' מ'	-1
ראדוויל	-1
מאנשעסטער	2643123
בוענאס-אירעס	3435910
דראהביטש	709611
ני יורק	5128581
מוקאטש	-1
וניזייה	3164603
"פרנקפורט ע""נ מיין"	-1
מיהאלעוויטץ	-1
וורשוי	756135
סופ'ייה	-1
וארשע	756135
מאסקוויע	524901
מאנטריאל	-1
קצנטינה	-1
פעטראגרד	-1
האג	2747373
ליססא	3093524
ווילהרמרשדארף	-1
בואינוס אייריס	3435910
נייטרא	3058531
פולנאי	-1
ברדיטשב	-1
קארלסרוהע	2892794
קלוזענבורג	681290
ציריך	2657896
מודינא	6541461
נו יורק	5128581
ברוקפיעלד	-1
לידה	2751773
וורשע	756135
געטינגין	-1
"ס""ט פטרסבורג"	-1
קושטאנטי	-1
מוגאדור	-1
ווראשא	756135
בודפשט	-1
אנוירשה	-1
יאווארזנא	-1
לאשצוב	-1
לובאטשוב	-1
באריס	-1
בערעזנא גדול	-1
פיעט ...	-1
סוואליווע	-1
מעזריטש	-1
קושטאנטינא	-1
הורדאדנא	-1
בערעגסאס	-1
"פפד""מ"	-1
טיהינגן	-1
לפסיה	-1
יאהאנניסבערג	-1
"פפענ""מ"	-1
קוסטאנטינה	-1
רעדלעלהיים	-1
גוזלוו	-1
טריאסטי	-1
לייפסיג	-1
גיססן	-1
בודפסט	-1
רמת יוחנן	293774
קאטאוויץ	3096472
לינעוול	-1
טירנויא	3057124
עוופאטאריא	-1
קרוטושין	-1
הנאפר	2910831
עאליה	-1
קאפענהאגען	2618425
סיגוט	667227
צאנז	-1
הורדאנא	-1
קוסטאן	-1
ארם צובא	-1
קופנהגן	2618425
וורשווא	756135
גאלאנטא	-1
דירהנפורט	-1
קיירי	-1
קונסטאנטינופולה	-1
באקארעשט	-1
טשרנוביץ'	-1
ויניצאה	3164603
קושאנדינא	-1
סופיא	-1
ייאמבולי	-1
קלעא	-1
גוזלוב	-1
יוופאטורייא	-1
אלקהירה	-1
ווילהרמשדארף	-1
לנדן	-1
באלטימארע	4347778
פיטסבורג פא.	-1
אמסטרדאם	2759794
קיניגשבערג	-1
ראגענדארף	-1
יוזעפוף	-1
קיירה	-1
בענדין	3103719
טשרנאוויץ	-1
מוסקוה	524901
תוניס	-1
קליבלנד	5150529
ווינה	-1
בוקרסט	-1
צ'רנוביץ	-1
טראבלס גרב	-1
ארג'יל	-1
בענדר	-1
מנסשתר	2643123
גלאגוי	-1
בולגראדו	792680
ייאסע	-1
גטבורג	-1
מעזיבוז	-1
טירנור	3057124
בווינוס איירס	3435910
באג'דאד	-1
קרימוני	-1
ברדטשב	-1
זסלב	-1
וויטצען	-1
אטוואצק	762788
לאחוויץ	-1
קנטאבריגיא	-1
שאראי	-1
זאמאשטש	-1
בודא-פעסט	-1
בריסל	2800866
בסיליאה	2661604
פראנק פורט דאדר	-1
דעברעצען	721472
קוסטנטינא	-1
ניו יארק.	5128581
רדום	-1
טשענסטאכאוו	7532537
ס' פטרבורג	-1
אראדעא רומניא	-1
שלוניקו	734077
איסטאמבול	-1
קונסטאנטינופלי	-1
קוספלי	-1
קונסטאנטיפולה	-1
אליקסאנדריאה	-1
קאנסטאנטינופלה	-1
בוענאס-איירעס	3435910
שאלוניק	734077
סטאמבול	-1
קוסנסטאנטינופלה	-1
מעמעל	598098
בוקאריסט	-1
טיסאלוניקו	734077
קיב	703448
פאדובאה	-1
פירנצי	3176959
וואיצען	-1
נעוו יארק	5128581
טיסאלוניקיי	734077
פ'יליפפופולי	728193
סופייה	-1
סופי'ייה	-1
פריסבורג	-1
סאראייב'ו	-1
גראססוארדיין	-1
קעשינעוו	-1
אויבערווישא	-1
הלברשטט	-1
מנשסטר	2643123
קונסטאנטינפלה	-1
פיליפופולי	728193
אזמירנה	-1
סעיאיני	-1
קארלזרוהע	2892794
סופ'ייאה	-1
זאלק'	-1
טאטאר באזארג'יק	-1
קושטאנטינופולי	-1
סילאדי-שאמלוי	-1
קושטנאדינה	-1
תסלוניקי	734077
ברסלויא	3081368
עדן	-1
גראסווארדיין	-1
תיסאלוניקי	734077
טורנו סיווירין	678817
סט' לואיס	4407066
פאס	-1
שנגהי	-1
פאדגוזע	-1
האננאפער	2910831
ורנקפורט דמיין	-1
וויניפעג	-1
מאינץ	-1
קישינעוו	-1
קושטאנדינא אורטה קואי	-1
באטשאן	-1
מילהויזן	-1
פולטוה	696643
קסאנטי	-1
סטאניסלוי	707471
דובנא רבתי	709540
אתינא	264371
שקלאו	-1
פאדגרוזע	-1
קאונע	598316
ריוא דטרינט	-1
מגדיאל	-1
פרעמישל	761168
ברעסלוי	3081368
לונדריס	-1
אלטדורף	-1
מאלעניטץ	-1
אדעסע	698740
קונספלי	-1
ליאורני	-1
אמטשרדם	2759794
"ס""ט פעטערבורג"	-1
מעלבורן	-1
אפיקים	295743
קלוז'	681290
וואשא	756135
קעניגסערג	-1
ראמני	695464
פאריאש	-1
"פרנקפורט ע""ו מין"	-1
ועארשא	756135
הומנה	-1
שאמלוי	-1
הלברשטאטט	-1
סטניסלו	707471
פרנקפורט ענ' מיין	-1
סדילקאוו	-1
סטניסלב	707471
הענא	-1
שטראסבורג	-1
זאלקוויא	-1
קאלאמעיא	-1
משמר העמק	294185
פלאצק	3088825
